time,split,epoch,step,metric,value
1759783938.273,train,36,4181,ctc_loss,0.2144119143486023
1759783940.426,train,36,4182,ctc_loss,0.2146255373954773
1759783942.530,train,36,4183,ctc_loss,0.22185707092285156
1759783944.696,train,36,4184,ctc_loss,0.20668737590312958
1759783946.812,train,36,4185,ctc_loss,0.21923507750034332
1759783949.111,train,36,4186,ctc_loss,0.20848195254802704
1759783951.242,train,36,4187,ctc_loss,0.2037801593542099
1759783953.300,train,36,4188,ctc_loss,0.20800349116325378
1759783955.380,train,36,4189,ctc_loss,0.20774945616722107
1759783957.579,train,36,4190,ctc_loss,0.2142963707447052
1759783959.764,train,36,4191,ctc_loss,0.22220490872859955
1759783962.078,train,36,4192,ctc_loss,0.20705494284629822
1759783964.079,train,36,4193,ctc_loss,0.2334335744380951
1759783966.176,train,36,4194,ctc_loss,0.19835197925567627
1759783968.330,train,36,4195,ctc_loss,0.2062193900346756
1759783970.429,train,36,4196,ctc_loss,0.19546805322170258
1759783972.499,train,36,4197,ctc_loss,0.20639322698116302
1759783974.679,train,36,4198,ctc_loss,0.21817421913146973
1759783976.791,train,36,4199,ctc_loss,0.2029571384191513
1759783978.927,train,36,4200,ctc_loss,0.22129017114639282
1759783981.080,train,36,4201,ctc_loss,0.22279483079910278
1759783983.087,train,36,4202,ctc_loss,0.21236702799797058
1759783985.304,train,36,4203,ctc_loss,0.21035560965538025
1759783987.382,train,36,4204,ctc_loss,0.22515641152858734
1759783989.773,train,36,4205,ctc_loss,0.21699315309524536
1759783991.993,train,36,4206,ctc_loss,0.22466424107551575
1759783994.175,train,36,4207,ctc_loss,0.2312423139810562
1759783996.376,train,36,4208,ctc_loss,0.20176705718040466
1759783998.576,train,36,4209,ctc_loss,0.23864276707172394
1759784000.927,train,36,4210,ctc_loss,0.2281734049320221
1759784003.268,train,36,4211,ctc_loss,0.23969440162181854
1759784005.463,train,36,4212,ctc_loss,0.21925994753837585
1759784007.739,train,36,4213,ctc_loss,0.2211729884147644
1759784009.871,train,36,4214,ctc_loss,0.21574179828166962
1759784011.931,train,36,4215,ctc_loss,0.22425982356071472
1759784014.017,train,36,4216,ctc_loss,0.22247782349586487
1759784016.155,train,36,4217,ctc_loss,0.2244265377521515
1759784018.239,train,36,4218,ctc_loss,0.20240017771720886
1759784020.292,train,36,4219,ctc_loss,0.22153779864311218
1759784022.388,train,36,4220,ctc_loss,0.20306380093097687
1759784024.698,train,36,4221,ctc_loss,0.2128671556711197
1759784026.908,train,36,4222,ctc_loss,0.20749734342098236
1759784029.104,train,36,4223,ctc_loss,0.19811095297336578
1759784031.237,train,36,4224,ctc_loss,0.2274090051651001
1759784033.309,train,36,4225,ctc_loss,0.21503816545009613
1759784035.461,train,36,4226,ctc_loss,0.20484235882759094
1759784037.509,train,36,4227,ctc_loss,0.21492624282836914
1759784039.625,train,36,4228,ctc_loss,0.2043996900320053
1759784041.744,train,36,4229,ctc_loss,0.2139180302619934
1759784044.014,train,36,4230,ctc_loss,0.2093956023454666
1759784046.154,train,36,4231,ctc_loss,0.21622252464294434
1759784048.319,train,36,4232,ctc_loss,0.2237282395362854
1759784050.556,train,36,4233,ctc_loss,0.22030580043792725
